,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
20,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
21,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
22,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
23,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
24,60-69 ans,Jamais,Au moins une fois par semaine,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
25,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
26,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
27,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
28,70 ans et +,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
29,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
30,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
31,60-69 ans,Jamais,Plusieurs fois par jour,Au moins une fois par mois,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
32,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
33,60-69 ans,Moins souvent,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
34,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
35,70 ans et +,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
36,60-69 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
37,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
38,70 ans et +,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
39,70 ans et +,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
40,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
41,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
42,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
43,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
44,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
45,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
46,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
47,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
48,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
49,60-69 ans,Plusieurs fois par jour,Jamais,Moins souvent,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
50,70 ans et +,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
51,60-69 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
52,45-59 ans,Jamais,Jamais,Moins souvent,,,,,,
53,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
54,35-44 ans,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
55,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
56,60-69 ans,Jamais,Plusieurs fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
57,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
58,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
59,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
60,60-69 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
61,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
62,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
63,70 ans et +,Au moins une fois par semaine,Jamais,Au moins une fois par mois,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
64,70 ans et +,Au moins une fois par semaine,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
65,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
66,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
67,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
68,70 ans et +,Jamais,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
69,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
70,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
71,25-34 ans,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
72,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
73,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
74,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
75,60-69 ans,Jamais,Jamais,Jamais,,,,,,
76,70 ans et +,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
77,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
78,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
79,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
80,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
81,60-69 ans,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
82,70 ans et +,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
83,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
84,70 ans et +,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
85,70 ans et +,Jamais,Au moins une fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
86,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
87,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
88,70 ans et +,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
89,60-69 ans,Jamais,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
90,45-59 ans,Jamais,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
91,70 ans et +,Jamais,Plusieurs fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
92,70 ans et +,Moins souvent,Moins souvent,Moins souvent,,,,,,
93,45-59 ans,Jamais,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
94,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
95,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
96,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
97,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
98,70 ans et +,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
99,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
100,45-59 ans,Moins souvent,Au moins une fois par semaine,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
101,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
102,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
103,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
104,70 ans et +,Moins souvent,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
105,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
106,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
107,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
108,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
109,70 ans et +,Moins souvent,Au moins une fois par jour,Au moins une fois par mois,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
110,70 ans et +,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
111,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
112,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
113,70 ans et +,Moins souvent,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
114,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
115,70 ans et +,Jamais,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
116,45-59 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
117,70 ans et +,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
118,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
119,70 ans et +,Jamais,Au moins une fois par semaine,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
120,70 ans et +,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
121,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
122,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
123,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
124,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
125,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
126,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
127,45-59 ans,Plusieurs fois par jour,Jamais,Jamais,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
128,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
129,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
130,70 ans et +,Moins souvent,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
131,60-69 ans,Jamais,Jamais,Jamais,,,,,,
132,70 ans et +,Jamais,Jamais,Jamais,,,,,,
133,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
134,70 ans et +,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Moins souvent,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
135,60-69 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Jamais,Jamais,Jamais,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
136,35-44 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
137,45-59 ans,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
138,25-34 ans,Moins souvent,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
139,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
140,35-44 ans,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
141,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
142,35-44 ans,Jamais,Plusieurs fois par jour,Moins souvent,Jamais,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
143,70 ans et +,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
144,35-44 ans,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
145,18-24 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Moins souvent,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
146,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,Jamais,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
147,60-69 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
148,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
149,45-59 ans,Au moins une fois par mois,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
150,35-44 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
